key,bugs, classes, code_smells, comment_lines, comment_lines_density, confirmed_issues, directories, duplicated_blocks, duplicated_lines, duplicated_lines_density, false_positive_issues, files, functions, lines, ncloc, ncloc_language_distribution, open_issues, reliability_rating, reliability_remediation_effort, reopened_issues, security_rating, sqale_debt_ratio, sqale_index, sqale_rating, violations, vulnerabilities
gamesys:coding-exercise,3,31,38,227,17.1,0,10,0,0,0,0,28,83,1817,1100,java=1043;xml=57,42,5,40,0,2,1.1,373,1,42,1
info.schnatterer.nusic:nusic:develop,1,107,214,1695,23.3,0,25,2,50,0.5,0,73,528,10923,5579,java=5579,215,4,20,0,1,2.9,4926,1,215,0
br.com.d4u:drink4u:feature/images,197,30,114,789,16.9,0,12,89,1925,29.7,0,62,246,6491,3886,java=1224;js=577;web=1904;xml=181,317,3,1451,0,2,0.6,680,1,317,6
com.opencellsoft:opencell,559,2450,9603,32521,12.2,0,409,1323,32283,8.9,0,2731,20488,360755,234111,java=200590;js=334;web=27986;xml=5201,10465,5,4694,0,5,1.6,113004,1,10465,303
groupId:Entrepot,0,21,146,335,13.7,0,10,0,0,0,5,21,239,3171,2116,java=2116,153,1,0,7,2,0,842,1,160,14
thaumicenergistics:ThaumicEnergistics,0,339,1695,12622,25.8,0,40,13,409,0.6,4,305,2727,66284,36255,java=36255,1924,1,0,0,2,1,10429,1,1924,229
WannaCry:WannaCry,0,3,6,3,8.1,0,4,0,0,0,0,4,3,53,34,java=18;xml=16,6,1,0,0,1,2.9,30,1,6,0
MyProjectKey,74,968,3080,2142,3,0,181,213,4185,4.8,0,942,3509,87461,69898,java=69898,3171,5,720,0,5,1.1,22733,1,3171,17
com.adeptj:adeptj-runtime,0,75,0,398,7.3,0,12,0,0,0,0,75,301,8136,5051,java=3078;xml=1973,0,1,0,0,1,0,0,1,0,0
org.jfrog.mani:pattabhi,0,3,4,8,3,0,8,0,0,0,0,8,3,305,259,java=21;xml=238,4,1,0,0,1,0.4,32,1,4,0
com.stockmanager:user-stock-service,2,24,106,64,5.6,0,8,0,0,0,0,24,109,1540,1084,java=959;xml=125,111,3,18,0,2,1.9,620,1,111,3
org.proton-di:Proton:development,0,33,0,436,32.6,0,11,0,0,0,1,34,110,1918,901,java=776;xml=125,0,1,0,0,1,0,0,1,0,0
org.proton-di:Proton,0,33,0,436,32.6,0,11,0,0,0,0,34,110,1918,901,java=776;xml=125,0,1,0,0,1,0,0,1,0,0
com.sentiance:streams-join,0,28,16,40,3.6,0,6,0,0,0,0,15,132,1444,1061,java=913;xml=148,16,1,0,0,1,0.3,95,1,16,0
com.epam.vikhlaev.grow:patterns,0,15,86,14,4.4,0,6,2,46,11.1,0,12,35,414,305,java=206;xml=99,86,1,0,0,1,8.1,744,2,86,0
HRVLib,0,55,9,245,15.7,0,11,0,0,0,0,55,157,2230,1312,java=1312,9,1,0,0,1,0.1,24,1,9,0
com.dataart.dshmain:boot-test1,0,10,1,56,11.9,0,10,0,0,0,0,11,32,569,414,java=248;xml=166,1,1,0,0,1,0,5,1,1,0
com.dataart.dshmain:boottest1-scorecard-service,0,10,1,29,6.5,0,10,0,0,0,0,11,32,541,418,java=248;xml=170,1,1,0,0,1,0,5,1,1,0
hrv-band,0,131,80,722,7.9,0,24,6,109,1,4,215,600,11461,8414,java=5236;xml=3178,80,1,0,0,1,1.7,4250,1,80,0
TDD,3,22,140,122,6.8,0,16,0,0,0,0,46,129,2202,1662,java=951;xml=711,148,3,45,0,2,5.6,2803,2,148,5
com.ipiecoles.java.java340:java350:master,1,20,10,17,2.1,0,8,0,0,0,0,21,113,1066,782,java=680;xml=102,11,2,15,0,1,0.6,130,1,11,0
teralco:SedeElectronica:feature-test,0,113,39,46,1,0,29,2,58,1,0,113,494,5866,4411,java=4228;xml=183,39,1,0,0,1,0.2,249,1,39,0
com.talanlabs:sonar-auth-gitlab-plugin,0,5,3,4,0.8,0,2,0,0,0,0,7,36,673,470,java=301;xml=169,3,1,0,0,1,0.3,40,1,3,0
io.github.rscai:docker-mock-db,1,5,5,2,1.1,0,4,0,0,0,0,6,12,227,188,java=116;xml=72,6,4,5,0,1,1.1,62,1,6,0
com.worksap.nlp:analysis-sudachi,0,25,12,17,1.7,0,4,0,0,0,0,23,83,1567,955,java=955,12,1,0,0,1,0.7,201,1,12,0
com.test.stock:stock-service,0,6,0,1,0.4,0,6,0,0,0,0,7,15,293,243,java=110;xml=133,0,1,0,0,1,0,0,1,0,0
com.floragunn:dlic-search-guard-auth-http-jwt,0,1,15,30,9,0,2,0,0,0,0,2,9,420,304,java=203;xml=101,15,1,0,0,1,1.4,130,1,15,0
com.floragunn:dlic-search-guard-auth-http-kerberos,0,10,36,34,5.2,0,3,0,0,0,0,4,36,844,618,java=531;xml=87,36,1,0,0,1,1.6,301,1,36,0
com.floragunn:dlic-search-guard-authbackend-ldap,0,6,31,64,6.2,0,4,0,0,0,0,7,26,1400,964,java=834;xml=130,31,1,0,0,1,1.3,367,1,31,0
com.lucasjsc.tdd:TDD-ex1,0,1,9,0,0,0,2,0,0,0,0,2,3,83,73,java=30;xml=43,9,1,0,0,1,2.5,55,1,9,0
com.mycompany:mavenproject,0,2,2,5,10.4,0,3,0,0,0,0,3,2,68,43,java=22;xml=21,2,1,0,0,1,1.6,20,1,2,0
ministocks,108,89,799,2126,8.4,0,60,68,3668,11.9,0,235,537,30801,23154,java=5628;js=386;web=5410;xml=11730,911,3,315,0,3,0.7,4541,1,911,4
com.mycompany:Atividade6TDD,0,1,8,0,0,0,2,0,0,0,0,2,6,97,79,java=52;xml=27,8,1,0,0,1,3,70,1,8,0
com.com.fundation.com.fundation.search:com.fundation.search,0,7,6,61,22.4,0,6,0,0,0,0,7,31,437,211,java=211,6,1,0,0,1,0.6,35,1,6,0
com.lucasjsc.tdd:Atividade06-TDD,0,1,2,0,0,0,2,0,0,0,0,2,3,83,73,java=30;xml=43,2,1,0,0,1,0.9,20,1,2,0
br.com.d4u:drink4u:feature/createProdManager,238,30,114,851,16.8,0,12,116,2446,35.1,0,64,248,6973,4220,java=1268;js=577;web=2194;xml=181,359,3,1781,0,2,0.5,694,1,359,7
com.mycompany:CalculadoraDesvioPadrao,0,1,1,1,1.6,0,2,0,0,0,0,2,3,77,63,java=25;xml=38,1,1,0,0,1,0.3,5,1,1,0
com.mycompany:Atividade6,0,1,4,1,2,0,2,0,0,0,0,2,2,69,50,java=23;xml=27,4,1,0,0,1,2.3,35,1,4,0
com.andersonmsoares.tdd:Atividade06,0,1,5,0,0,0,2,0,0,0,0,2,2,73,65,java=38;xml=27,5,1,0,0,1,2.1,40,1,5,0
nl.esciencecenter.xenon.grpc:xenon-grpc,0,11,2,12,0.6,0,3,0,0,0,0,10,138,2218,1923,java=1923,2,1,0,0,1,0,20,1,2,0
filestore,9,14,55,68,5.2,0,10,4,132,8.4,0,20,62,1572,1248,java=475;js=148;web=597;xml=28,72,3,60,0,2,2,766,1,72,8
EnvCollabCrsUnittre:EnvCollabCrsUnit,0,1,5,12,13.5,0,2,0,0,0,0,2,4,108,77,java=20;xml=57,5,1,0,0,1,1.7,40,1,5,0
corve,17,19,132,66,6.2,0,8,0,0,0,0,21,63,1337,1003,java=883;plsql=66;xml=54,191,5,85,0,5,4.6,1397,1,191,42
fr.jahroots.spotify:Spotify4Free,0,1,5,20,14,0,2,0,0,0,0,2,5,185,123,java=72;xml=51,8,1,0,0,5,0.7,27,1,8,3
org.ietr.graphiti:org.ietr.graphiti.parent:v1.6.0,2,108,63,2645,29.7,0,26,17,522,3.1,0,105,539,16630,6256,java=6113;xml=143,65,2,30,0,1,2.2,4136,1,65,0
org.ietr.dftools:org.ietr.dftools.parent:v1.4.0,28,265,1083,9723,35.2,0,77,54,1440,3,0,262,1669,48011,17866,java=17651;xml=215,1179,5,240,0,2,2.5,13397,1,1179,68
com.sbelei:gradle-jenkins-plugin,0,8,17,0,0,0,6,0,0,0,0,8,18,118,70,java=70,17,1,0,0,1,79.8,1675,5,17,0
valor.runner,0,3,2,0,0,0,3,0,0,0,0,4,1,27,20,java=12;xml=8,2,1,0,0,1,2.5,15,1,2,0
duncanpsonar.com.sonarqube.examples:java-maven-travis-project,0,1,3,1,1.4,0,2,0,0,0,0,2,1,75,68,java=9;xml=59,3,1,0,0,1,2.5,52,1,3,0
thingoo:develop,0,38,11,4,0.3,0,15,0,0,0,0,38,85,1457,1175,java=1175,11,1,0,0,1,0.1,35,1,11,0
org.ietr.preesm:org.ietr.preesm.parent:v2.10.0,78,804,4128,37311,30.9,0,220,1670,12703,6.9,0,809,5959,184080,83550,java=82600;xml=950,4393,5,890,0,2,2.3,57395,1,4393,187
io.staerk:codewars,0,36,0,0,0,0,6,0,0,0,0,35,58,951,813,java=813,0,1,0,0,1,0,0,1,0,0
org.wildfly:wildfly-parent,260,4884,13696,36411,10.6,0,576,1136,26835,5.2,0,4141,23512,515461,306178,java=288101;web=3;xml=18074,14175,5,2275,0,5,1.5,137135,1,14175,219
ru.javawebinar:topjava:before_HW_4,2,25,42,30,2.7,0,11,2,36,2.5,0,28,147,1422,1096,java=912;web=21;xml=163,60,3,15,0,2,0.7,218,1,60,16
ru.javawebinar:topjava,2,25,42,30,2.7,0,11,2,36,2.5,0,28,147,1422,1096,java=912;web=21;xml=163,60,3,15,0,2,0.7,218,1,60,16
org.wildfly.core:wildfly-core-parent,292,4549,15015,44145,12.1,0,311,2188,41167,8,0,2969,27061,515187,321974,java=315499;xml=6475,15625,5,3063,0,5,1.7,165117,1,15625,318
dev,3881,22857,134861,507108,19.6,0,3053,18587,398310,11.7,0,21739,151504,3411702,2073656,java=2021932;js=10648;web=413;xml=40663,143157,5,46075,0,5,2.1,1326430,1,143157,4415
com.diakogiannis.alexius.security:AESEncryptor,0,3,1,67,17,0,3,0,0,0,0,4,15,558,326,java=140;xml=186,1,1,0,0,1,0,2,1,1,0
net.sourceforge.htmlunit:htmlunit,36,1219,4146,29435,25.7,0,53,309,8361,4.8,0,1189,8582,172432,85012,java=83901;xml=1111,4189,5,288,0,5,5.2,132122,2,4189,7
de.taimos:pipeline-aws,4,106,75,204,4.4,0,6,47,534,8,0,47,487,6689,4453,java=4256;xml=197,79,3,60,0,1,1.1,1486,1,79,0
org.apache.tomee:tomee-project,761,4992,22660,75190,16.1,0,817,5792,100245,15.5,0,4487,35807,646972,391369,java=361186;js=3771;web=970;xml=25442,24368,5,6799,0,5,2.9,344225,1,24368,947
com.github.shaburov:puzzle-solver,10,9,57,109,14.2,0,3,0,0,0,0,8,53,966,656,java=588;xml=68,67,3,50,0,1,1.9,377,1,67,0
mana,0,9,3,18,4.9,0,3,0,0,0,0,9,38,513,352,java=352,3,1,0,0,1,0.1,10,1,3,0
test-service,0,2,2,0,0,0,1,0,0,0,0,2,3,49,34,java=34,2,1,0,0,1,2,20,1,2,0
ee.smkv.executor.remote:remote_executor,0,12,10,0,0,0,4,0,0,0,0,12,58,503,385,java=385,11,1,0,0,2,1.2,142,1,11,1
RainbowSixSiege-CompanionApp,0,82,152,72,1.3,0,34,6,118,1.7,0,117,504,6948,5338,java=3411;xml=1927,152,1,0,0,1,2.2,3505,1,152,0
com.jgcomptech.tools:java-ultimate-tools,5,159,1140,3948,33.2,0,12,34,1114,7.2,0,101,1108,15577,7952,java=7614;xml=338,1156,5,65,0,5,3.1,7280,1,1156,11
sonar-scanner-travis-project,0,8,22,8,2.7,1,11,6,22,6.2,0,11,29,355,290,java=95;xml=195,20,1,0,1,1,2.4,206,1,22,0
hooghlycrm:feature/500_unit_tests,7,154,101,181,2.4,0,24,16,457,4.4,0,177,258,10411,7235,java=4499;js=79;web=1332;xml=1325,108,3,14,0,1,0.4,969,1,108,0
com.example.stocks:stocks,0,22,3,161,19.4,0,12,0,0,0,0,32,75,1212,671,java=523;xml=148,3,1,0,0,1,0.2,50,1,3,0
w4tracking,0,35,4,5,0.4,0,17,0,0,0,0,45,130,1542,1207,java=1020;plsql=2;web=54;xml=131,4,1,0,0,1,0.1,41,1,4,0
org.w4tracking:w4tracking,3,60,19,9,0.4,0,13,7,118,4.3,0,51,274,2763,2169,java=1694;web=54;xml=421,22,3,35,0,1,0.4,264,1,22,0
hooghlycrm:feature/494_add_quote_files,7,159,105,185,2.4,0,24,16,457,4.2,0,183,262,10761,7477,java=4679;js=79;web=1332;xml=1387,112,3,14,0,1,0.4,992,1,112,0
incorporated.az:recruitme,0,10,11,46,12.8,0,7,0,0,0,0,11,8,471,314,java=178;xml=136,11,1,0,0,1,0.7,65,1,11,0
gem-engine-backend,0,19,0,100,13.2,0,4,0,0,0,0,15,59,940,660,java=660,0,1,0,0,1,0,0,1,0,0
gem-engine-common,0,5,3,28,12.4,0,2,0,0,0,0,5,35,309,198,java=198,3,1,0,0,1,0.4,25,1,3,0
com.zeros:otchi,11,137,35,58,1.3,0,35,2,44,0.7,0,137,520,5902,4423,java=4159;xml=264,51,3,125,0,2,0.2,320,1,51,5
com.itavery.forecast.forecaster,1,61,128,56,1.5,0,14,42,1138,23.5,0,61,370,4837,3652,java=3652,129,3,15,0,1,1.9,2045,1,129,0
code:app,0,13,12,16,2.7,0,14,0,0,0,0,22,31,743,578,java=279;xml=299,14,1,0,0,2,2.5,437,1,14,2
JavaProject04022018,0,1,2,0,0,0,1,0,0,0,0,1,2,13,8,java=8,2,1,0,0,1,8.3,20,2,2,0
pwnedpasswords4j,0,7,8,4,1.7,0,3,0,0,0,0,7,30,319,236,java=236,8,1,0,0,1,1.4,98,1,8,0
com.islomar.parrotter:parrotter,0,20,0,7,1.1,0,9,0,0,0,0,21,72,866,620,java=481;xml=139,0,1,0,0,1,0,0,1,0,0
chat-service:chat-service,0,33,0,3,0.3,0,19,0,0,0,0,40,76,1281,1006,java=596;xml=410,0,1,0,0,1,0,0,1,0,0
br.com.d4u:drink4u,198,30,114,797,16.6,0,12,83,1977,29.7,0,65,248,6653,4011,java=1237;js=635;web=1958;xml=181,320,4,1461,0,4,0.6,677,1,320,8
nl.rostykerei:cci,0,140,0,854,23.5,0,47,0,0,0,0,180,269,6031,2777,java=2485;xml=292,0,1,0,0,1,0,0,1,0,0
org.codehaus.l10n.ko:sonar-l10n-ko-plugin,0,1,1,0,0,0,2,0,0,0,0,2,1,136,99,java=9;xml=90,1,1,0,0,1,0.5,15,1,1,0
mx.com.allianz:loginservice-client,4,17,163,193,11.6,0,7,46,1330,60.8,0,18,143,2187,1475,java=1358;xml=117,169,3,60,0,2,3.8,1660,1,169,2
devops:firstproject,0,1,1,1,3.3,0,2,0,0,0,0,2,1,40,29,java=8;xml=21,1,1,0,0,1,1.1,10,1,1,0
Practices:Practices,0,3,29,11,4.8,0,3,2,143,53.4,0,4,14,268,217,java=198;xml=19,29,1,0,0,1,4.3,279,1,29,0
elasticsearch:server,258,4431,8418,38613,11.3,0,322,487,7398,1.5,0,2931,31889,478895,303715,java=303715,8838,5,2318,0,5,1.5,132121,1,8838,162
org.cactoos:cactoos-http,0,6,0,76,19,0,2,0,0,0,0,8,13,669,323,java=127;xml=196,0,1,0,0,1,0,0,1,0,0
com.tanerdiler:ecommerce-basket-api,0,57,7,103,4.4,0,14,0,0,0,0,58,174,2913,2254,java=1975;xml=279,7,1,0,0,1,0.1,72,1,7,0
W53:W53-GREETINGAPI:taurus,0,4,6,4,3.4,0,4,0,0,0,0,4,9,151,114,java=114,6,1,0,0,1,0.4,15,1,6,0
avans.ivh11.mart:demo,6,61,196,133,4.8,0,11,2,74,2.1,0,62,185,3584,2616,java=2492;xml=124,202,3,100,0,1,1.7,1369,1,202,0
devopsProject12,0,2,29,1,0.5,0,1,0,0,0,0,1,5,289,205,java=205,29,1,0,0,1,1.6,101,1,29,0
com.example:hartigehap,0,42,104,19,1.5,0,12,2,32,2.1,0,43,101,1548,1210,java=1138;xml=72,105,1,0,0,2,1.8,646,1,105,1
tcanascimento-github,10,95,433,427,6.2,0,33,19,367,4.2,0,148,412,8770,6509,java=4173;web=173;xml=2163,457,3,75,0,2,3.9,7667,1,457,14
com.processos:projetoProcessosNegocio,0,5,4,5,3.4,0,6,0,0,0,0,6,5,181,143,java=45;xml=98,4,1,0,0,1,0.6,25,1,4,0
ru.sbtqa.tag:qa-utils,0,13,0,165,22,0,9,0,0,0,0,14,51,1020,584,java=420;xml=164,0,1,0,0,1,0,0,1,0,0
EAS04-Catan:EAS04-Catan,23,23,334,809,17.7,1,5,86,799,14.2,0,23,196,5618,3765,java=3746;xml=19,282,3,165,75,2,0,3736,1,358,1
nl.esciencecenter.e3dchem.kripodb:nl.esciencecenter.e3dchem.kripodb,0,37,80,167,5.6,0,16,20,413,11.6,0,51,178,3570,2838,java=1806;py=69;xml=963,85,1,0,0,2,0.7,620,1,85,5
bershka:app,138,2922,4963,4044,1.7,0,451,748,16644,5.9,0,2800,18176,283818,237486,java=165906;web=67;xml=71513,5424,5,1701,0,5,1.7,119893,1,5424,323
co.za.sebata:java-rest-api-cicd-demo,2,5,8,31,15.4,0,3,0,0,0,0,5,17,258,170,java=170,10,3,20,0,1,0.6,29,1,10,0
homecare:homecare,20,251,3874,7851,15.9,0,14,1165,18637,27.6,0,264,4690,67421,41463,java=38319;web=944;xml=2200,4004,3,97,0,5,0,42583,1,4004,110
ganjang-parent,0,20,5,9,2.2,0,8,0,0,0,0,20,47,547,398,java=398,6,1,0,0,2,0.3,36,1,6,1
devops_mobileapp12,0,1,11,14,7.7,0,1,0,0,0,0,1,15,198,168,java=168,13,1,0,0,2,0.6,28,1,13,2
com.AnalyseVideo:AnalyseVideo,0,20,0,202,14.1,0,8,0,0,0,0,21,72,1924,1230,java=1098;xml=132,0,1,0,0,1,0,0,1,0,0
com.dev.bruno:match-me-find-users,0,6,0,0,0,0,6,0,0,0,0,7,27,246,191,java=133;xml=58,0,1,0,0,1,0,0,1,0,0
Stable_Matching_AI,0,9,73,77,11.5,0,3,0,0,0,0,9,94,868,595,java=595,73,1,0,0,1,2.9,514,1,73,0
org.ua.oblik:oblik-modules,9,119,58,164,2.5,0,42,8,183,2.1,0,159,789,8707,6462,java=4602;js=797;web=153;xml=910,68,3,24,0,4,0.2,464,1,68,1
org.ceneval:registro_en_linea,75,131,605,4872,10.2,0,28,164,6794,11.5,0,195,4479,58868,42869,java=10884;js=31249;web=254;xml=482,691,5,878,0,5,0.4,5563,1,691,11
com.example.maven-project:maven-project,0,1,2,11,3.9,0,5,0,0,0,0,5,2,353,272,java=8;xml=264,2,1,0,0,1,0.1,5,1,2,0
com.philips.phm.phmcs,0,15,62,45,5.4,0,11,0,0,0,0,17,80,1012,781,java=772;xml=9,68,1,0,0,2,2.1,496,1,68,6
com.github.mishaninss:arma-ui-appium,0,4,0,13,4,0,4,0,0,0,0,5,6,437,311,java=136;xml=175,0,1,0,0,1,0,0,1,0,0
com.dkarv:jdcallgraph:improve-writers,0,72,136,197,5.9,0,18,4,57,1,0,64,312,5523,3151,java=3021;xml=130,140,1,0,0,2,1.5,1394,1,140,4
stacspics.client,0,14,49,18,2,0,3,0,0,0,0,16,85,1043,896,java=896,51,1,0,0,2,1,263,1,51,2
com.microsoft:ROOT,0,3,6,6,2,0,6,0,0,0,0,7,6,338,295,java=53;web=56;xml=186,6,1,0,0,1,0.3,28,1,6,0
maven_initializr,0,2,1,3,17.6,0,2,0,0,0,0,2,2,27,14,java=14,1,1,0,0,1,2.4,10,1,1,0
hooghlycrm,8,159,105,188,2.4,0,25,16,457,4.1,0,184,262,11050,7729,java=4677;js=79;web=1586;xml=1387,113,3,14,0,1,0.4,992,1,113,0
mx.com.allianz:daf-core-services-parent,6,105,341,467,7.6,0,37,14,310,4,0,108,731,7785,5681,java=5395;xml=286,359,5,60,0,2,1.5,2490,1,359,12
mx.com.allianz.wsclient:sac-clientws,0,64,54,2706,46.3,0,8,4,286,3.2,0,69,477,8924,3136,java=3063;xml=73,54,1,0,0,1,0.3,255,1,54,0
mx.com.allianz.wsclient:document-recognition-clientws,3,16,115,161,13.1,0,6,7,135,8.9,0,17,123,1524,1068,java=979;xml=89,118,5,30,0,1,2.7,862,1,118,0
key01,875,275,10582,10767,11.5,0,112,746,11030,9.6,0,592,2282,115078,82651,java=5;js=6874;php=42722;web=32301;xml=749,11551,3,3175,0,5,2.5,62847,1,11551,94
hooghlycrm:feature/100_opportunity_kanban,10,160,119,193,2.3,0,25,18,699,6.1,0,187,267,11417,8031,java=4761;js=79;web=1804;xml=1387,129,3,14,0,1,0.4,1076,1,129,0
failback,0,4,15,5,1.5,0,5,0,0,0,0,5,21,404,331,java=151;xml=180,15,1,0,0,1,0.6,61,1,15,0
ru.sbtqa.tag:cucumber-runner,0,1,0,17,11.3,0,2,0,0,0,0,2,1,161,133,java=14;xml=119,0,1,0,0,1,0,0,1,0,0
svg,0,45,77,578,23.7,0,13,0,0,0,0,58,173,3513,1862,java=1862,77,1,0,0,1,0.7,381,1,77,0
nl.hu.bep:tentamen,0,3,0,0,0,0,2,0,0,0,0,4,3,74,54,java=31;xml=23,0,1,0,0,1,0,0,1,0,0
ApiTest:app,0,6,7,2,0.5,0,7,0,0,0,0,15,14,440,373,java=108;xml=265,7,1,0,0,1,3.8,430,1,7,0
org.springframework:ffw_rest,0,3,1,0,0,0,2,0,0,0,0,4,5,114,91,java=39;xml=52,1,1,0,0,1,0.1,2,1,1,0
com.microsoft.azure:todo-app-java-on-azure,0,4,15,5,1.5,0,5,0,0,0,0,5,21,404,331,java=151;xml=180,15,1,0,0,1,0.6,61,1,15,0
com.is.compromise:is-compromise,0,2,0,25,23.8,0,2,0,0,0,0,3,3,131,80,java=30;xml=50,0,1,0,0,1,0,0,1,0,0
android-wikipedia-390,49,1100,1215,4110,3.6,0,251,65,7000,5.4,0,1166,6697,128819,109754,java=53146;js=3614;web=34;xml=52960,1299,5,515,0,5,1,34048,1,1299,35
br.com.jug:api,0,10,9,13,1.5,0,5,0,0,0,0,11,105,1100,862,java=756;xml=106,9,1,0,0,1,0.6,144,1,9,0
CodeQualityTraining1:CodeQualityTraining1,2,7,44,132,28.1,0,6,2,124,20.5,0,14,49,605,338,java=238;xml=100,50,2,10,0,4,2.3,232,1,50,4
sampleKeytorcTraining:sampleKeytorcTraining,5,12,26,86,17.6,0,6,2,124,19.7,0,14,55,630,403,java=303;xml=100,34,3,35,0,5,1.4,174,1,34,3
CodeTraining1:CodeTraining1,8,12,49,78,15.9,0,6,0,0,0,0,14,61,615,413,java=313;xml=100,60,3,85,0,5,2.3,279,1,60,3
testTraining:testTraining,8,12,47,68,14.5,0,6,2,124,20.9,0,14,56,594,400,java=300;xml=100,61,5,60,0,5,2.7,321,1,61,6
com.eizzy.recharge.parent:eizzy-recharge-parent,0,2,2,14,4.6,0,6,0,0,0,0,6,3,330,293,java=34;xml=259,2,1,0,0,1,0.2,20,1,2,0
CalculatorTDD:CalculatorTDD,0,1,4,1,3.6,0,2,0,0,0,0,2,2,39,27,java=10;xml=17,4,1,0,0,1,5.4,44,2,4,0
com.jvalverde:TheWeather,0,7,1,7,1.9,0,2,0,0,0,0,8,80,553,362,java=349;xml=13,1,1,0,0,1,0,2,1,1,0
com.eizzy.recharge.parent:eizzy-recharge-parent:develop,0,2,2,76,19.4,0,6,0,0,0,0,6,3,415,316,java=34;xml=282,2,1,0,0,1,0.2,20,1,2,0
org.sonarqube:JacocoCodeCoverage,0,1,1,2,0.7,0,7,0,0,0,0,10,1,292,274,java=10;xml=264,1,1,0,0,1,4.7,390,1,1,0
com.learntamil:learntamil,0,3,0,4,3.1,0,3,0,0,0,0,4,3,149,123,java=35;xml=88,0,1,0,0,1,0,0,1,0,0
DevOpsApp.Android:app,0,1,1,2,0.7,0,7,0,0,0,0,10,1,292,274,java=10;xml=264,1,1,0,0,1,4.7,390,1,1,0
s:app,0,1,1,2,0.7,0,7,0,0,0,0,10,1,292,274,java=10;xml=264,1,1,0,0,1,4.7,390,1,1,0
com.github.bingoohuang:aliyun-mini-api,1,21,13,10,1.7,0,5,0,0,0,0,21,35,732,581,java=411;xml=170,14,5,5,0,1,1.1,187,1,14,0
net.esyo:ModServ,3,12,13,102,9.3,0,1,0,0,0,4,12,124,1289,1000,java=1000,16,3,30,0,1,0.1,43,1,16,0
de.taimos:httputils,0,12,24,276,32,0,3,0,0,0,0,11,72,1239,587,java=534;xml=53,24,1,0,0,1,1.7,299,1,24,0
ru.javawebinar:topjava:before_HW5,2,26,44,31,2.6,0,11,2,36,2.4,0,29,149,1473,1146,java=936;web=21;xml=189,62,3,15,0,2,0.6,222,1,62,16
io.andromeda.pippo:pippo-shariff-backend,0,18,23,60,6.1,0,4,0,0,0,0,19,48,1400,925,java=599;xml=326,33,1,0,0,2,0.6,175,1,33,10
com.bergerkiller.bukkit:BKCommonLib,62,1041,3542,12884,21.5,0,62,66,1123,1.4,0,596,6450,79120,47150,java=46822;xml=328,3847,5,595,0,2,1.8,26098,1,3847,243
planet-plugins:planet-polls,0,1,2,0,0,0,2,0,0,0,0,2,2,133,119,java=12;xml=107,2,1,0,0,1,0.1,4,1,2,0
com.pz:til,0,31,0,28,3,0,13,0,0,0,0,31,77,1168,910,java=639;xml=271,0,1,0,0,1,0,0,1,0,0
pt.ulisboa.ciencias.di.lasige.navigators:FrameGenerator,2,42,555,407,7.8,0,4,140,1963,25.2,0,30,330,7804,4780,java=4723;xml=57,558,3,20,0,2,3.3,4778,1,558,1
com.cardstox:cardstox-cards,0,7,1,0,0,0,5,0,0,0,0,7,14,167,116,java=116,1,1,0,0,1,0.1,2,1,1,0
dr-android-dev,0,6,12,4,0.8,0,10,0,0,0,0,18,9,546,485,java=126;xml=359,12,1,0,0,1,6,870,2,12,0
chatty,87,653,2611,10097,13.1,0,26,42,1897,2,0,369,4654,95471,67213,java=59047;web=8166,2779,5,522,0,2,3.2,64303,1,2779,81
ru.tsystems:ECareApplication,0,26,8,12,1.2,0,9,4,95,7.2,0,28,124,1319,981,java=813;xml=168,8,1,0,0,1,0.4,105,1,8,0
eu.europa.ec.fisheries.uvms.plugins:fluxActivity,0,19,54,50,3.3,0,11,0,0,0,0,22,90,1903,1478,java=1111;xml=367,54,1,0,0,1,1,439,1,54,0
university-young:university-young-web,3,13,7,248,19,0,8,0,0,0,0,15,127,1667,1055,java=805;xml=250,10,3,50,0,1,0.1,21,1,10,0
uk.hfox.morphix:morphix-parent,1,111,16,489,12.6,0,43,2,44,0.6,0,113,357,7497,3377,java=2874;xml=503,17,3,10,0,1,0.2,158,1,17,0
org.znerd:uasniffer,0,2,58,155,19,0,2,4,39,4,0,3,17,965,661,java=551;xml=110,58,1,0,0,1,3.9,773,1,58,0
es.esky:role-api,0,30,1,291,24,0,19,0,0,0,0,31,97,2237,919,java=823;xml=96,1,1,0,0,1,0,2,1,1,0
com.mycompany.blockchain.sawtooth.jwrap:sawtooth-java-wrapper-parent,0,42,63,248,15.2,0,17,0,0,0,0,47,133,2373,1387,java=1088;xml=299,67,1,0,0,2,1,411,1,67,4
SonarGit,0,2,5,2,15.4,0,1,0,0,0,0,2,2,25,11,java=11,5,1,0,0,1,15.2,50,3,5,0
cave-a-vins-server,0,23,2,95,7.4,0,4,0,0,0,0,21,128,1739,1195,java=1195,2,1,0,1,5,0.1,50,1,3,1
es.upm.miw:Spring-CRUD-drivers-mongoDB,0,8,1,12,3.5,0,5,0,0,0,0,9,36,430,331,java=265;xml=66,1,1,0,0,1,0.1,11,1,1,0
ifpb.ads:projeto-praticas,2,30,13,52,5.7,0,12,0,0,0,1,33,132,1428,860,java=741;web=22;xml=97,15,3,5,0,1,0.2,47,1,15,0
data-core,204,4268,3823,24694,9.4,0,733,2305,36582,11.4,0,4366,29569,321348,239071,cs=235741;java=94;js=436;web=133;xml=2667,4602,5,2592,0,5,0.5,33667,1,4602,575
